caso,concepto,valor
liquidez,activo_corriente,480000.00
liquidez,inventarios,180000.00
liquidez,pasivo_corriente,300000.00
gestion,ventas_credito,1200000.00
gestion,cxc_inicial,180000.00
gestion,cxc_final,220000.00
gestion,costo_ventas,900000.00
gestion,inventario_inicial,140000.00
gestion,inventario_final,160000.00
solvencia,activo_total,2000000.00
solvencia,pasivo_total,900000.00
solvencia,patrimonio,1100000.00
rentabilidad,ventas_netas,1500000.00
rentabilidad,utilidad_neta,135000.00
rentabilidad,activo_promedio,1500000.00
rentabilidad,patrimonio_promedio,900000.00
integrador,efectivo,120000.00
integrador,cuentas_por_cobrar,240000.00
integrador,inventarios,180000.00
integrador,activo_corriente,540000.00
integrador,activo_no_corriente,660000.00
integrador,total_activo,1200000.00
integrador,pasivo_corriente,300000.00
integrador,pasivo_no_corriente,270000.00
integrador,pasivo_total,570000.00
integrador,patrimonio,630000.00
integrador,ventas_netas,1500000.00
integrador,costo_ventas,975000.00
integrador,utilidad_bruta,525000.00
integrador,gastos_operativos,300000.00
integrador,utilidad_operativa,225000.00
integrador,gastos_financieros,45000.00
integrador,uai,180000.00
integrador,impuesto_renta,53100.00
integrador,utilidad_neta,126900.00
